"Tytuł produktu","Kod produktu","Kategoria","Zdjęcie","Dokumentacja produktowa","Opis"
"Forlusept PD 13 - preparat do dezynfekcji i mycia wszelkich powierzchni zmywalnych","PD 13","Kuchnia, Codzienna dezynfekcja, Gruntowna dezynfekcja, Podłogi, Dezynfekcja, Powierzchnie zmywalne, Dezynfekcja, Sanitariaty, Dezynfekcja","https://www.forlux.pl/sites/default/files/produkty/pd_13_0.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/stezenia_i_czasy_skutecznosci_bojczej_forlusept.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/forlusept_pd_23-02-2016_r.pdf","Forlux PD 13 Forlusept jest preparatem na bazie czwartorzędowych soli amoniowych 
Zastosowanie:
Płynny preparat przeznaczony do mycia i dezynfekcji narządzi i urządzeń stosowanych w gospodarstwach domowych, miejscach publicznych (np. szpitale), przemyśle spożywczym, mięsnym, rybnym, mleczarskim, gastronomii, na bazie aminy czwartorzędowej. Stosowany do dezynfekcji wyposażenia, pojemników, naczyń, sprzętów kuchennych, powierzchni i rurociągów związanych z produkcją, transportem. Dozwolony do mycia i dezynfekcji urządzeń i powierzchni mających kontakt z żywnością. Preparat do użytku profesjonalnego. Zakres działania: bakteriobójczy, grzybobójczy, wirusobójczy.
Sposób użycia:
Szpitalnictwo:
Do dezynfekcji: (działanie: bakteriobójcze, grzybobójcze, wirusobójcze): przygotować roztwór roboczy 4% (tj. 40 g preparatu rozprowadzić W 1 litrze wody w temp. pokojowej), nanieść na myte powierzchnie. Po upływie 30 minut spłukać wodą. W przypadku dezynfekcji dużych powierzchni typu podłogi, ściany - pozostawić do wyschnięcia.
Przemysł spożywczy, instytucje:
Do dezynfekcji: (działanie: bakteriobójcze, grzybobójcze, wirusobójcze): przygotować roztwór roboczy 4% (tj. 40 g preparatu rozprowadzić w 1 litrze wody w temp. pokojowej), nanieść no myte powierzchnie. Po upływie 15 minut spłukać' wodą (w przypadku dezynfekcji powierzchni kontaktujących się z żywnością spłukać wodą zdatną do picia), w przypadku dużych powierzchni typu podłogi, ściany - pozostawić do wyschnięcia.
Roztwór roboczy przechowywać nie dłużej niż 8 godzin.
Skład:
5-1 5% kationowe związki powierzchniowo czynne, 5-15% niejonowe związki powierzchniowo czynne, EDTA, środki wspomagające í stabilizujące. 100g preparatu zawiera 6,939 chlorku didecylodimetyloamonu (substancja czynna).
Dostępne opakowania:
2L - PD 213
5L - PD 513
 




 
 
"
"Forlux Antibacterial - FORLUX RA","RA","Ręce, Dezynfekcja, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/p1080972.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/ra_07_mydlo_forlux.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/zgloszenie_mydla_antybakteryjnego_forlux_ra_07_do_krajowego_systemu_informowania_o_kosmetykach_wprowadzonych_do_obrotu_na_terenie_rp.pdf","Zastosowanie:
Mydło przeznaczone jest do codziennego mycia rąk i ciała. Może być stosowane do wszystkich rodzajów skóry. Ponadto zawiera wysokopieniące środki powierzchniowo czynne oraz środki nawilżające i natłuszczające. Dzięki składnikom zawartym w recepturze mydła, w skórze utrzymuje się wysoki poziom nawilżenia. Skóra jest delikatna i miła w dotyku.
Sposób użycia:
Niewielką ilość mydła nanieść na ręce i ciało, rozetrzeć, a następnie spłukać wodą.
Skład:
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Cocamide DEA, Sodium Alkyl Sulfonate, Glycerin, Bis-(3-aminopropyl)dodecylamine, Citric Acid, Methylchloroisothiazolinone, Methylisothiazolinone.
pH 7
Dostępne opakowania:
0,5L - RA 007
5L - RA 507
"
"Forlux Grill Remover NG 14 - Preparat do silnie przypalonych powierzchni","NG 14","Kuchnia, Mycie gruntowne","https://www.forlux.pl/sites/default/files/produkty/p1150866.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_ng_grill_remover_16-06-2015_r.pdf","Zastosowanie:
Preparat Forlux NG 014 przeznaczony jest do czyszczenia silnie zatłuszczonych i przypalonych garnków, patelni, grilli, szyb kominkowych, pieców konwekcyjno-parowych i innych urządzeń kuchennych. Zawiera inhibitory korozji, ulega biodegradacji. Po użyciu powierzchnia pozostaje czysta i błyszcząca. Produkt należy stosować bez rozcieńczenia.
Sposób użycia:
Nanieść preparat na przypaloną powierzchnię i pozostawić na kilka minut do zadziałania. W przypadku przypalonego tłuszczu dodatkowo przetrzeć powierzchnię gąbką, dokładnie spłukać czystą wodą i wytrzeć do sucha.
Skład:
wodorotlenek sodowy 5-15%, niejonowe substancje powierzchniowo czynne "
"Forlux Ice Killer - Zabójca Lodu - Forlux PO","PO 10","Parkingi, chodniki i magazyny, Odladzanie","https://www.forlux.pl/sites/default/files/produkty/po_10.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/po_10_forlux_ice_killer.pdf","Zastosowanie:
Preparat w postaci granulatu, ułatwiający oczyszczenie powierzchni z lodu i ubitego śniegu. Może być stosowany wyłącznie na zabezpieczony beton i inne utwardzane powierzchnie. Jest skuteczny przy temperaturze powietrza do -20°C. Nie roztapia lodu tylko powoduje jego kruszenie (bez błota pośniegowego), ułatwiając usunięcie z chodników, parkingów, podjazdów, stacji paliw, placów zakładowych, platform spedycyjnych, wejść do szkół i sklepów. Preparat jest bezpieczny dla roślin.
Ice Killer pakowany jest w szczelne wiaderka 10 Kg lub worki 20 Kg, które zabezpieczają substancję przed zawilgoceniem. Prostokątny kształt wiaderka - w odróżnieniu od wiaderek okrągłych - zwiększa wygodę ustawiania, przenoszenia oraz umożliwa lepsze wykorzystanie szpadla do dozowania.
Po wykorzystaniu Ice Killera wiaderko będzie jeszcze długo służyć do inych celów gospodarczych.
Sposób użycia:
Nanieść preparat na powierzchnię, 20 - 120 g/m2, w zależności od temperatury powietrza i grubości warstwy lodu / ubitego śniegu. Przy niskiej wilgotności powietrza należy zwilżyć powierzchnię wodą, aby ułatwić rozpuszczanie się preparatu. Po skruszeniu lodu należy usunąć go mechanicznie.
Skład:
Mieszanina chlorku wapnia oraz chlorku sodu.
pH 10,5
Dostępne opakowania:

		PO 1210 - wiaderko 12 kg

		PO 2410 - wiaderko 24 kg
"
"Forlux Uniwersalny Citrus – UCC 007","UCC 007","Powierzchnie zmywalne, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/p1080979.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_ucc_20-02-2016_r.pdf","Zastosowanie:
Forlux UCC 007 jest gotowym do użycia produktem, przeznaczony jest do mycia wszystkich zmywalnych powierzchni np.: szkło, meble, marmur, powierzchnie z tworzyw sztucznych. Czyści dokładnie i nie pozostawia smug. Nadaje powierzchni idealny połysk i pozostawia przyjemny zapach.
Sposób użycia:
Spryskać płynem zabrudzoną powierzchnię i wytrzeć miękkim ręcznikiem papierowym lub szmatką do uzyskania naturalnego połysku.
Skład:
"
"GRUNTOWNE MYCIE NAGROBKÓW","ZGN 14","Podłogi, Mycie gruntowne, Powierzchnie zmywalne, Mycie gruntowne","https://www.forlux.pl/sites/default/files/produkty/dsc09758.jpg","","Forlux ZGN 14 przeznaczony jest do gruntownego mycia nagrobków oraz innych powierzchni z kamienia,
lastriko, granitu i marmuru, oraz innych powierzchni odpornych na działanie środków zasadowych.
Po umyciu płyty nagrobkowej, zaleca się zastosowanie preparaty Forlux ZZN 09, celem zabezpieczenia i nabłyszczenia płyty nagrobkowej.
Sposób użycia ZGN 14
od 10 ml do 100 ml koncentratu na 1 litr wody. Nanieść roztwór roboczy na czyszczoną powierzchnię i pozostawić na około 10 minut,
następnie zebrać rozpuszczony brud i przemyć powierzchnię czystą wodą celem zmycia resztek brudu oraz neutralizacji pozostałej chemii.
Dostępne opakowanie
butelka z dozownikiem 250 ml - ZGN 14 
"
"GRUNTOWNE ODTŁUSZCZANIE POWIERZCHNI KUCHENNYCH","KGO 14","Kuchnia, Mycie codzienne, Mycie gruntowne","https://www.forlux.pl/sites/default/files/produkty/p1150845.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_kgo_14_02-08-2017_r.pdf","ZASTOSOWANIE
Forlux KGO 14 jest silnie skoncentrowanym, gotowym do użycia odtłuszczaczem, przeznaczonym do gruntownego mycia odpornych na środki zasadowe powierzchni kuchennych narażonych na zabrudzenia pochodzenia tłuszczowego. Skutecznie rozpuszcza i usuwa lepki brud, osady z pary, tłuszcz i inne zanieczyszczenia pochodzenia organicznego z okapów kuchennych, frontów szafek, płyt grzewczych w kuchenkach gazowych i elektrycznych, glazury ściennej i innych powierzchni kuchennych. Dzięki swoim właściwościom wysoko-pieniącym, nie spływa z powierzchni pionowych, co znacznie poprawia efektywność mycia dzięki dłuższej ekspozycji preparatu na mytej powierzchni.
SPOSÓB UŻYCIA
Nanieść preparat na zatłuszczoną i odczekać kilka minut. W przypadku przypalonego tłuszczu, przetrzeć spryskaną powierzchnię gąbką lub ręcznikiem papierowym. Dokładnie spłukać czystą wodą i wytrzeć do sucha. Nie dopuszczać do wyschnięcia preparatu na czyszczonej powierzchni.
ZAGROŻENIA: powoduje poważne oparzenia skóry oraz uszkodzenia oczu. ZAPOBIEGANIE: stosować rękawice ochronne /ochronę oczu/ ochronę twarzy. REAGOWANIE: W [PRZYPADKU DOSTANIA SIĘ DO OCZU: ostrożnie płukać wodą przez kilka minut. Wyjąc soczewki kontaktowe, jeżeli są i można je łatwo usunąć. Nadal płukać. W PRZYPADKU POŁKNIĘCIA: wypłukać usta. NIE wywoływać wymiotów. Natychmiast skontaktować się z OŚRODKIEM ZATRUĆ/ lekarzem. W PRZYPADKU KONTAKTU ZE SKÓRĄ (lub włosami): natychmiast zdjąć zanieczyszczoną odzież. Spłukać skórę pod strumieniem wody/prysznicem.
SKŁAD
< 5% wodorotlenek potasowy, < 5 % niejonowe związki powierzchniowo czynne, < 5% EDTA, kompozycja zapachowa. Wodorotlenek potasu.
DOSTĘPNE OPAKOWANIA
KGO 014 - butelka 500ml ze spryskiwaczem pianotwórczym
"
"IMPREGNAT DO PODŁÓG I ŚCIAN","PGI 08","Podłogi, Impregnaty, Sanitariaty, Impregnaty, Specjalistyczne, Pielęgnacja","https://www.forlux.pl/sites/default/files/produkty/dsc09137.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/pgi_08_k_charakterystyki.pdf","PGI 08 
Preparat impregnujący do zabezpieczania ścian i podłóg
Zastosowanie.
Preparat impregnujący PGI zabezpiecza przed wnikaniem wody i oleju oraz plam w posadzki wykonane z betonu, płytek ceramicznych, płytek kamionkowych i gresowych oraz podłóg mineralnych, na zewnątrz i wewnątrz obiektów. Doskonale zabezpiecza posadzki i ściany wykonane z chłonnego kamienia naturalnego i sztucznego.  Zabezpieczona tym impregnatem powierzchnia nie zmienia oryginalnego koloru i łatwo jest utrzymać ją w czystości. Impregnat posiada neutralny zapach.
Sposób użycia.
Zabezpieczaną powierzchnię oczyścić odpowiednim do tego celu preparatem Forlux.
Nakładać preparat PGI 08:
mopem ECM - w przypadku impregnowania całej powierzchni
spryskiwaczem BUT PROF lub gąbką - w przypadku impregnowania punktowego np. fug.
Zaimpregnowaną powierzchnię pozostawić do wyschnięcia na około od 2 do 4 godzin, następnie nałożyć kolejną warstwę impregnującą.
Zabezpieczona powierzchnia po upływie czasu 2 do 4 godzin nadaje się do użytkowania, jednak zaleca się jeśli to możliwe, nie użytkować jej przez 12 godzin w celu całkowitego utwardzenia powłoki impregnującej.
Do codziennego mycia powierzchni zabezpieczonej impregnatem PGI 08, należy używać preparatów Forlux o neutralnej wartości pH na przykład ZC 507

UWAGI.
Przed nałożeniem impregnatu PGI 08 należy zabezpieczyć wszystkie powierzchnie sąsiadujące, które nie powinny być pokrywane tym preparatem.
Nie dopuścić do przemarznięcia preparatu PGI 08 !.
W czasie nakładania impregnatu PGI 08 wymagane jest aby temperatura w pomieszczeniu nie była niższa jak 10⁰C.
 
Dostępne opakowania 
butelka 1 litr - PGI 108
kanister 5 litrów - PGI 508
"
"Kij aluminiowy do Mopa ECM","ECK","Sprzęt sprzątający, Akcesoria do zestawów","https://www.forlux.pl/sites/default/files/produkty/photo_10.jpg","","Kij aluminiowy do Mopa ECM
długość 140 cm
"
"Konektor na kran okrągły","DOZ KO 11","Akcesoria do dozowników przenośnych, Automaty dozujące koncentraty, Akcesoria do dozowników przenośnych","https://www.forlux.pl/sites/default/files/produkty/konektor_na_kran_okragly.png","","Konektor na kran okrągły (przemysłowy) umożliwia sprawne podłączenie jednego z naszych przenośnych dozowników do koncentratów za pomocą szybkozłączek i węża do źródła wody.
"
"Konektor na kran płaski","DOZ KP 12","Akcesoria do dozowników przenośnych, Automaty dozujące koncentraty, Akcesoria do dozowników przenośnych","https://www.forlux.pl/sites/default/files/produkty/konektor_do_kranu_01.png","","Konektor na kran łazienowy (łazienkowy) umożliwia sprawne podłączenie jednego z naszych przenośnych dozowników do koncentratów za pomocą szybkozłączek i węża do źródła wody.
"
"KONSERWACJA I CZERNIENIE OPON SAMOCHODOWYCH","AO","Samochody, Pielęgnacja, Specjalistyczne, Pielęgnacja","https://www.forlux.pl/sites/default/files/produkty/dsc00025.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/ao_05_karta_charakterystyki.pdf","ZASTOSOWANIE
Preparat Forlux AO 05 przeznaczony jest do nabłyszczania i konserwacji opon oraz innych elementów gumowych.
Może być stosowany również do zderzaków i innych elementów z tworzyw sztucznych.
Zapobiega starzeniu się i pękaniu gumy, nadaje oponom i innym elementom samochodu połysk
i wyraźnie ożywia kolor odmładzając ich wygląd i zwiększając atrakcyjność samochodu.
SPOSÓB UŻYCIA
Środek stosować bez rozcieńczania. Nanosić równomiernie na powierzchnię za pomocą spryskiwacza
bądź miękkiego pędzla lub gąbki.
OSTRZEŻENIA
Działa drażniąco na skórę. Działa toksycznie na organizmy wodne, może powodować długo utrzymujące się niekorzystne zmiany w środowisku wodnym. Działa szkodliwie, może wywoływać uszkodzenia płuc. Opary mogą wywołać uczucie senności i zawroty głowy. Chronić przed dziećmi. Nie przechowywać w pobliżu źródeł zapłonu,
nie palić tytoniu. Nie wprowadzać do kanalizacji. W razie połknięcia nie wywoływać wymiotów; niezwłocznie zasięgnąć porady lekarza i pokazać opakowanie lub etykietę.
SKŁAD
Heptan, metylocykloheksan, limonene, linnalool, citral.
Dostępne opakowania i symbol
AO - butelka ze spryskiwaczem 0,5 l 
"
"KOSZYK DOLNY","ECZDD","Sprzęt sprzątający, Akcesoria do zestawów","https://www.forlux.pl/sites/default/files/produkty/photo_11.jpg","","KOSZYK DOLNY
Koszyk dolny do zestawu sprzątającego Forlux EasyClean dwuwiaderkowego na kółkach
"
"KOSZYK GÓRNY","ECZDG","Sprzęt sprzątający, Akcesoria do zestawów","https://www.forlux.pl/sites/default/files/produkty/photo_12.jpg","","KOSZYK GÓRNY
Koszyk górny do zestawu sprzątającego Forlux EasyClean dwuwiaderkowego na kółkach
"
"KRANIKI DO KANISTRÓW ","KRAN KAN ","Dozowniki do chemii, Ręczne dozowanie chemii","https://www.forlux.pl/sites/default/files/produkty/p1090023.jpg","","KRANIKI DO KANISTRÓW 
Kraniki obsadzone na nakrętkach do kanistrów, ułatwiające nalewanie płynów do butelek dozujących
DOZ25 bądź  BUT05
dostepne wielkości nakrętek 

		KRAN KAN - kanister 20 litrów

		KRAN KAN 5 - kanister 5 litrów
 
 
"
"Kuchnia Citrus KGC 014- Zwalcza brud i tłuszcz ","KGC 14","Kuchnia, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/p1080981.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_kgc_014_kuchnia_citrus_20-02-2016_r.pdf","Zastosowanie:
Forlux Kuchnia jest gotowym do użycia produktem, przeznaczony jest do odtłuszczania wszelkich powierzchni odpornych na środki zasadowe. Skutecznie usuwa z powierzchni zestarzały brud, tłuszcze oraz oleje.
Sposób użycia:
Spryskać płynem zabrudzoną powierzchnię i wytrzeć miękkim ręcznikiem papierowym lub szmatką do uzyskania naturalnego połysku.
Skład:
"
"Mata Wewnętrzna","MATA I-H","Maty wejściowe, wewnętrzne","https://www.forlux.pl/sites/default/files/produkty/kolory_iron_horse.jpg","","Zalety mat wejściowych
Mata Wewnętrzna to jedna z najbardziej wydajnych mat zbierających brud, które nadają się do prania. Została opracowana w sposób pozwalający jej sprostać nawet najsurowszym wymaganiom. Wyróżnia się nie tylko niezwykłą wytrzymałością, ale dzięki dostępnej palecie10 standardowych kolorów stanowi także doskonałą ozdobę wejść do budynków publicznych, przemysłowych oraz zakładów produkcyjnych.
Mata Wewnętrzna może w znacznym stopniu przyczynić się do utrzymania w czystości wejść do budynków oraz znajdujących się w nich pomieszczeń. Pochłaniając brud i wilgoć, znaczniezmniejsza potrzebę sprzątania, a jednocześnie wydłuża żywotność podłóg. Ponadto gwarantuje wyższy poziom bezpieczeństwa poprzez zapewnienie czystych i suchych podłóg.
Przędza: włókno High-Twist Nylon (HTN) – barwione w masie
Spód: 100 % guma nitrilowa
Wysokość przędzy: ok. 10–11 mm
Wysokość całkowita maty: ca. 11–12 mm
Całkowity ciężar maty: ok. 2,3 kg/m²
Zalecana temperatura prania 60 °C nadaje się do suszenia w suszarce
Certyfikat pożarowy EN 13501-1
Gwarancja w przypadku profesjonalnej konserwacji: 2 lata, 11 lat na znaczącą utratę koloru
Tolerancja: tolerancje produkcyjne +/- 5 %
wymiary mat wejściowych w standardzie:
Standardowa szerokość: 85, 115 i 150 cm, z rantem. Black Pearl, Black Steel, Black Cedar, Midnight Grey i Granite do 200 cm z rantem.
Standardowa długość: do 700 cm
"
"Mata Zewnętrzna","MATA WAT-H","Maty wejściowe, zewnętrzne","https://www.forlux.pl/sites/default/files/produkty/mata_wash_horse_kolory.jpg","","Zalety mat zewnętrznych
Ze względu na swoje właściwości mata Zewnętrzna doskonale nadaje się do użytku na obszarach, gdzie głównym problemem są wilgoć i woda. Mata Zewnętrzna jest w stanie wchłonąć do 4,5 litrów wody na m2, a tłoczony wzór oczyszcza podeszwy butów z brudu i zapewnia doskonałe właściwości antypoślizgowe. Powierzchnia mat Zewnętrznych została wykonana w 100% z polipropylenu, dzięki czemu nie blaknie i jest odporna na butwienie. Zwiększony ciężar maty oznacza również, że pozostanie ona stabilna nawet podczas wietrznej pogody.
Przędza: Polipropylen, przędza supełkowa
Spód: 100% guma nitrylowa
Wysokość przędzy: ok. 5 mm
Całkowita wysokość maty: ok. 7 mm
Całkowity ciężar maty: ok. 4,04 kg/m²
Gwarancja w przypadku profesjonalnej konserwacji: 2 lata
Tolerancja: tolerancje produkcyjne +/- 5%
Standarowe rozmiary:
60 x 90 cm
85 x 120 cm
85 x 150 cm
115 x 175 cm

UWAGA, Nie można prać.
"
"MECHANICZNY DOZOWNIK DO PASTY BHP","DOZ RG","Dozowniki artykułów higienicznych, Dozowniki do past","https://www.forlux.pl/sites/default/files/produkty/photo_3_0.jpg","","MECHANICZNY DOZOWNIK DO PASTY BHP
Dozownik do pasty do mycia rąk FORLUX RG

		Pojemność: 2500 ml (na ok. 300 porcji)

		wymiary: W 340 mm, Sz. 150 mm, G 150 mm
"
"MLECZKO CZYSZCZĄCE - FORLUX NG 10 BRUSH","NH 10","Kuchnia, Mycie gruntowne","https://www.forlux.pl/sites/default/files/produkty/photo_31.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_ng010_brush.pdf","MLECZKO CZYSZCZĄCE 
FORLUX NG 10 BRUSH
Zastosowanie:
Delikatne mleczko czyszczące Forlux NG 010 przeznaczone jest do czyszczenia kuchenek, zlewozmywaków, blatów, umywalek, muszli toaletowych, glazury, terakoty, kabin prysznicowych oraz garnków i zastawy stołowej. Nadaje się do czyszczenia powierzchni emaliowanych i wszelkich innych powierzchni w kuchni oraz łazience. Skutecznie i szybko usuwa tłuszcz i różnego rodzaju inny oporny brud, pozostawiając czyste i lśniące powierzchnie bez zarysowań i o przyjemnym, świeżym cytrynowym zapachu.
Sposób użycia:
Nanieść bezpośrednio na czyszczoną powierzchnię. Wyczyścić zabrudzone miejsce, spłukać wodą i wytrzeć do sucha w celu uzyskania lśniącej powierzchni.
 
pH 10
Dostępne opakowania:
0,5l - NG 010
"
"MOP DO ZESTAWU","ECM","Sprzęt sprzątający, Akcesoria do zestawów","https://www.forlux.pl/sites/default/files/produkty/photo_13.jpg","","MOP DO ZESTAWU
Mop do zestawu sprzątającego Forlux EasyClean
stelaż
nakładka 40cm
kij aluminiowy
 
INSTRUKCJA MOCOWANIA NAKŁADKI MOPA ECM, NA STELAŻU - NAKIERUJ MYSZKĘ TUTAJ I KLIKNIJ 
 
 

"
"MYCIE I DEZYNFEKCJA PODŁOGI","PDM","Kuchnia, Codzienna dezynfekcja, Podłogi, Mycie codzienne, Powierzchnie zmywalne, Dezynfekcja, Sanitariaty, Dezynfekcja","https://www.forlux.pl/sites/default/files/produkty/dsc08752.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/karta_chcarakterystyki_wersja_2.1_22_marca_2012_1.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/pozw.mz_.pdf","PDM - Deosan
Mycie i dezynfekcja podłogi i inne powierzchnie zmywalne
Zastosowanie
- do mycia i dezynfekcji pomieszczeń, urządzeń sanitarnych oraz sprzętów w obiektach użyteczności publicznej oraz gospodarstwach domowych, wyposażenia oraz urządzeń mających kontakt z żywnością i środkami żywienia zwierząt, ścian oraz wyposażenia w poczekalniach, recepcjach, pomieszczeniach magazynowych, ciągach komunikacyjnych i placówkach służby zdrowia. Preparatu nie należy stosować do mycia i dezynfekcji wyrobów medycznych. Zakres stosowania preparatu: powszechny.
Sposób użycia
Do mycia i dezynfekcji stosować płyn nierozcieńczony. Dezynfekowane powierzchnie zwilżyć preparatem. Myć mechanicznie lub ręcznie. Po 15 minutach spłukać wodą. Po zakończeniu dezynfekcji nie jest konieczne przeprowadzenie dodatkowej wentylacji pomieszczeń. Nierozcieńczony preparat w czasie 15 minut wykazuje działanie bakteriobójcze i grzybobójcze.

Produkt posiada Pozwolenie Ministra Zdrowia na obrót preparatem biobójczym oraz atest PZH.
Dostępne opakowania
PDM 1 K - butelka 1 kg
PDM 4 K - kanister 4 kg
"
"MYCIE KABIN PRYSZNICOWYCH","SKP 2","Sanitariaty, Mycie codzienne, Mycie gruntowne","https://www.forlux.pl/sites/default/files/produkty/p1150846.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_skp_2_03-08-2017_r.pdf","ZASTOSOWANIE
Preparat pianowy Forlux SKP 2 o zapachu cytrusowym służy do czyszczenia kabin prysznicowych. Aktywna piana przywiera do powierzchni usuwając skutecznie kamień, osady z wody i mydła, rdzawe naloty. Nie powoduje zarysowań. Preparat można stosować do czyszczenia powierzchni ceramicznych, szklanych, chromowanych oraz stali nierdzewnej i pleksi. Myte powierzchnie pozostawia lśniące i nadaje im przyjemny długotrwały zapach. Preparat posiada właściwości antybakteryjne.
SPOSÓB UŻYCIA
Za pomocą spryskiwacza nanieść na czyszczoną powierzchnię preparat SKP002, pozostawić na 5 minut, następnie przetrzeć gąbką lub ściereczką i spłukać wodą, dla osiągnięcia głębszego połysku można wytrzeć do sucha.
SKŁAD
< 5% anionowe związki powierzchniowo czynne, "
"MYCIE PIECÓW KONWEKCYJNO PAROWYCH ","NKP 514","Kuchnia, Mycie codzienne, Mycie gruntowne, Mycie ręczne","https://www.forlux.pl/sites/default/files/produkty/nkp514.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_nkp_514_08.08.2018_r.pdf","MYCIE PIECÓW KONWEKCYJNO PAROWYCH 
 
Preparat Forlux NKP 514 przeznaczony jest do czyszczenia piekarników, pieców konwekcyjno-parowych, blach piekarniczych, rożen, patelni i innych urządzeń kuchennych odpornych na preparaty o wysokim pH,
czyli o odczynie zasadowym. Zawiera inhibitory korozji, ulega biodegradacji. Produkt należy stosować bez rozcieńczenia.
 
SPOSÓB UŻYCIA
Preparat stosuje się w roztworach wodnych do 1000 ml na 10 litrów wody w zależności od grubości warstwy smolistej.
Piec konwekcyjno-parowy – RĘCZNE MYCIE ODTŁUSZCZAJĄCE
Urządzenie należy ogrzać lub schłodzić do temperatury 40-50 C, nanieść rozcieńczony preparat Forlux NKP 514na zabrudzoną powierzchnię,
włączyć urządzenie w programie para przez 10 minut przy temperaturze nie większej niż 50°C , skraplająca się para na ściankach spowoduje spłynięcie brudu.
Następnie należy spłukać strumieniem wody chemię i resztki brudu.
Piec konwekcyjny – RĘCZNE MYCIE ODTŁUSZCZAJĄCE
Włączyć urządzenie w programie temperatura nie większa niż 50°C, spryskać równomiernie czyszczoną powierzchnię rozcieńczonym preparatem FORLUX NKP 514
Pozostawić na około 15 minut do rozpuszczenia zabrudzeń. Następnie czyszczone powierzchnie należy spłukać dokładnie wodą.
 
POWIERZCHNIE KTÓRYCH PODGRZANIE NIE JEST MOŻLIWE, należy potraktować preparatem FORLUX NKP 501 na zimno, przedłużając czas kontaktu do 60 minut.
Jeśli po czyszczeniu pozostają białe osady wapienne, świadczy to o twardości wody, należy wtedy zastosować środek myjąco-odkamieniający koncentrat Forlux NG 001,
proces mycia odkamieniającego przeprowadzić w taki sam sposób jak proces mycia odtłuszczającego. W przypadku mycia przedmiotów aluminiowych nie należy dopuszczać do długotrwałego kontaktu preparatu z czystą powierzchnią.
 
pH 14

Dostępne opakowania
5L - NKP 514

 
"
"MYCIE SZYB W PIECACH KONWEKCYJNYCH, KOMINKACH I PIEKARNIKACH","NK 14","Kuchnia, Mycie codzienne, Mycie gruntowne, Specjalistyczne, Usuwanie trudnych zabrudzeń","https://www.forlux.pl/sites/default/files/produkty/p1150842.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_nk_14_02-08-2017_r._1.pdf","ZASTOSOWANIE
Preparat Forlux NK 14 przeznaczony jest do czyszczenia silnie zatłuszczonych i przypalonych szyb kominkowych, piekarników, pieców konwekcyjno-parowych i innych urządzeń kuchennych odpornych na preparaty silnie zasadowe. Zawiera inhibitory korozji, ulega biodegradacji. Produkt należy stosować bez rozcieńczenia.
SPOSÓB UŻYCIA
Nanieść preparat na zatłuszczoną lub przypaloną powierzchnię i odczekać kilka minut. W przypadku przypalonego tłuszczu, przetrzeć spryskaną powierzchnię gąbką lub ręcznikiem papierowym. Dokładnie spłukać czystą wodą i wytrzeć do sucha.
SKŁAD
Wodorotlenek sodowy 5-15%, niejonowe substancje powierzchniowo czynne "
"Mydło niwelujące zapachy - Forlux RB 06","RB 06","Kuchnia, Mycie codzienne, Mycie ręczne, Ręce, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/p1140710.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_rb_20-02-2016_r.pdf","Mydło w płynie usuwające z dłoni wszelkie zapachy:
 
Przed przygotowaniem posiłków:
zapach kosmetyków 
Po przygotowaniu posiłków:
uciążliwy zapach produktów żywnościowych.
Zastosowanie:
Bezzapachowe Mydło będące jednocześnie doskonałym niwelatorem wszelkiego rodzaju woni, czosnku, cebuli, ryb, tytoniu, grzybów,
przypraw jak i również innych silnych zapachów typu siarkowodór.Posiada pH neutralne dla skóry i zapewnia skuteczną ochronę i delikatną pielęgnację dłoni.
Ma idealne zastosowanie wszelkiego typu zakładach przemysłu spożywczego, oraz w kuchniach małej lub dużej gastronomi.
 
pH 6
Dostepne w opakowaniach:
RB 505 - kanister 5L
RB 006 - butelka 0,5L z pompka 
"
